variable,label,harm,threshold,prevalence,n,test_pos_rate,tp_rate,fp_rate,net_benefit
all,Treat All,0,1e-9,0.14,750,1,0.14,0.86,0.13999999914000003
all,Treat All,0,0.01,0.14,750,1,0.14,0.86,0.13131313131313133
all,Treat All,0,0.02,0.14,750,1,0.14,0.86,0.12244897959183675
all,Treat All,0,0.03,0.14,750,1,0.14,0.86,0.11340206185567012
all,Treat All,0,0.04,0.14,750,1,0.14,0.86,0.10416666666666669
all,Treat All,0,0.05,0.14,750,1,0.14,0.86,0.09473684210526317
all,Treat All,0,0.06,0.14,750,1,0.14,0.86,0.08510638297872342
all,Treat All,0,0.07,0.14,750,1,0.14,0.86,0.07526881720430108
all,Treat All,0,0.08,0.14,750,1,0.14,0.86,0.06521739130434784
all,Treat All,0,0.09,0.14,750,1,0.14,0.86,0.05494505494505496
all,Treat All,0,0.1,0.14,750,1,0.14,0.86,0.04444444444444445
all,Treat All,0,0.11,0.14,750,1,0.14,0.86,0.03370786516853934
all,Treat All,0,0.12,0.14,750,1,0.14,0.86,0.02272727272727275
all,Treat All,0,0.13,0.14,750,1,0.14,0.86,0.011494252873563232
all,Treat All,0,0.14,0.14,750,1,0.14,0.86,0
all,Treat All,0,0.15,0.14,750,1,0.14,0.86,-0.011764705882352927
all,Treat All,0,0.16,0.14,750,1,0.14,0.86,-0.023809523809523808
all,Treat All,0,0.17,0.14,750,1,0.14,0.86,-0.03614457831325302
all,Treat All,0,0.18,0.14,750,1,0.14,0.86,-0.04878048780487801
all,Treat All,0,0.19,0.14,750,1,0.14,0.86,-0.061728395061728364
all,Treat All,0,0.2,0.14,750,1,0.14,0.86,-0.07499999999999998
all,Treat All,0,0.21,0.14,750,1,0.14,0.86,-0.08860759493670883
all,Treat All,0,0.22,0.14,750,1,0.14,0.86,-0.10256410256410253
all,Treat All,0,0.23,0.14,750,1,0.14,0.86,-0.11688311688311687
all,Treat All,0,0.24,0.14,750,1,0.14,0.86,-0.13157894736842102
all,Treat All,0,0.25,0.14,750,1,0.14,0.86,-0.1466666666666666
all,Treat All,0,0.26,0.14,750,1,0.14,0.86,-0.16216216216216217
all,Treat All,0,0.27,0.14,750,1,0.14,0.86,-0.1780821917808219
all,Treat All,0,0.28,0.14,750,1,0.14,0.86,-0.19444444444444448
all,Treat All,0,0.29,0.14,750,1,0.14,0.86,-0.2112676056338028
all,Treat All,0,0.3,0.14,750,1,0.14,0.86,-0.2285714285714286
all,Treat All,0,0.31,0.14,750,1,0.14,0.86,-0.24637681159420294
all,Treat All,0,0.32,0.14,750,1,0.14,0.86,-0.2647058823529412
all,Treat All,0,0.33,0.14,750,1,0.14,0.86,-0.28358208955223885
all,Treat All,0,0.34,0.14,750,1,0.14,0.86,-0.3030303030303031
all,Treat All,0,0.35,0.14,750,1,0.14,0.86,-0.32307692307692304
none,Treat None,0,1e-9,0.14,750,0,0,0,0
none,Treat None,0,0.01,0.14,750,0,0,0,0
none,Treat None,0,0.02,0.14,750,0,0,0,0
none,Treat None,0,0.03,0.14,750,0,0,0,0
none,Treat None,0,0.04,0.14,750,0,0,0,0
none,Treat None,0,0.05,0.14,750,0,0,0,0
none,Treat None,0,0.06,0.14,750,0,0,0,0
none,Treat None,0,0.07,0.14,750,0,0,0,0
none,Treat None,0,0.08,0.14,750,0,0,0,0
none,Treat None,0,0.09,0.14,750,0,0,0,0
