variable,label,n,threshold,pos_rate,test_pos_rate,tp_rate,fp_rate,harm,net_benefit,net_intervention_avoided
all,Treat All,750,0,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,0.14728706774292788,NA
all,Treat All,750,0.01,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,0.13867380580093724,0
all,Treat All,750,0.02,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,0.12988476300298762,0
all,Treat All,750,0.03,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,0.1209145028277607,0
all,Treat All,750,0.04,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,0.11175736223221654,0
all,Treat All,750,0.05,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,0.10240743972939777,0
all,Treat All,750,0.06,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,0.09285858270524243,0
all,Treat All,750,0.07,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,0.08310437391712674,0
all,Treat All,750,0.08,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,0.07313811711187813,0
all,Treat All,750,0.09,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,0.06295282169552514,0
all,Treat All,750,0.1,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,0.052541186381030974,0
all,Treat All,750,0.11,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,0.04189558173362683,0
all,Treat All,750,0.12,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,0.031008031526054414,0
all,Treat All,750,0.13,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,0.019870192807963066,0
all,Treat All,750,0.14,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,0.008473334584799846,0
all,Treat All,750,0.15,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.00319168500832015,0
all,Treat All,750,0.16,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.015134443163181105,0
all,Treat All,750,0.17,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.027364978622978486,0
all,Treat All,750,0.18,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.039893819825697674,0
all,Treat All,750,0.19,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.05273201513218778,0
all,Treat All,750,0.2,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.06589116532134015,0
all,Treat All,750,0.21,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.07938345855325582,0
all,Treat All,750,0.22,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.09322170802188734,0
all,Treat All,750,0.23,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.10741939254165211,0
all,Treat All,750,0.24,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.12199070033825277,0
